Name,BUURTCODE,Population,Consumptionpercapita,Total Consumption
Belgisch Park,71,8205,90.68423069050992,744064.1128156339
Westbroekpark,73,880,78.63339811759381,69197.39034348256
Duttendel,74,1075,83.68894143155039,89965.61203891668
Nassaubuurt,48,1625,78.46506998842212,127505.73873118593
Uilennest,75,2100,82.63954985716086,173543.0547000378
Duinzigt,76,2495,78.68931299630795,196329.83592578833
Waalsdorp,77,3810,81.76666589673708,311530.9970665683
Arendsdorp,78,1305,80.19950244536868,104660.35069120613
Van Hoytemastraat en omgeving,79,2360,66.63949354914581,157269.2047759841
Archipelbuurt,46,6100,77.24256498408002,471179.6464028881
Van Stolkpark en Scheveningse Bosjes,5,760,83.50345107721893,63462.62281868638
Oud Scheveningen,1,2920,34.63342341433956,101129.59636987152
Vissershaven,2,3560,62.40100493465426,222147.57756736915
Scheveningen Badplaats,3,5390,33.99791576152565,183248.76595462323
Visserijbuurt,4,3860,58.36378022976962,225284.19168691072
Rijslag,72,1610,88.47121211371694,142438.6515030843
Duindorp,100,5955,51.58957478511321,307215.9178453492
Statenkwartier,7,9665,92.91437181788939,898017.4036199009
Geuzenkwartier,8,4390,61.33928436407487,269279.4583582887
Zorgvliet,41,500,74.11726088034112,37058.630440170564
Stadhoudersplantsoen,42,1960,69.53737448349855,136293.25398765717
Sweelinckplein en omgeving,43,5810,50.54837072007775,293686.0338836517
Bloemenbuurt-West,50,2340,81.88344795586882,191607.26821673303
Bloemenbuurt-Oost,51,6460,87.51459782150448,565344.3019269189
Bomenbuurt,52,5865,85.8300500483455,503393.24353354634
Vogelwijk,9,5350,92.3550775743749,494099.66502290574
Bosjes van Pex,81,400,88.53958727416223,35415.83490966489
Bohemen en Meer en Bos,92,4485,78.68009892345488,352880.2436716951
Ockenburgh,90,795,84.01202653118644,66789.56109229321
Kijkduin,91,1550,73.57437115747531,114040.27529408674
Kraayenstein,97,5875,77.70932781450874,456542.3009102388
Houtwijk,86,12820,95.75931360474999,1227634.4004128948
Kom Loosduinen,95,4975,83.09121793295819,413378.80921646697
Waldeck-Zuid,6,2035,81.8409816836852,166546.3977262994
Nieuw Waldeck,40,7210,89.81717503181133,647581.8319793597
Rosenburg,82,2910,79.4193631052759,231110.3466363529
Componistenbuurt,93,1825,81.5614712040151,148849.68494732757
Waldeck-Noord,94,3150,81.25584136613608,255955.90030332867
Vruchtenbuurt,53,7165,62.48158588909503,447680.5628953659
Eykenduinen,83,2635,58.85843597656279,155091.97879824296
Heesterbuurt,54,6805,77.09618316524002,524639.5264394584
Valkenboskwartier,55,11435,60.20939582719731,688494.4412840012
Rond de Energiecentrale,10,5955,46.16086321107066,274887.9404219258
Koningsplein en omgeving,44,7575,58.4975696466898,443119.0900736752
Zeeheldenkwartier,45,11845,39.92505129404628,472912.23257797817
Willemspark,47,1490,35.96844003437689,53592.97565122157
Haagse Bos,49,425,38.8022011101952,16490.93547183296
Landen,61,5155,71.1920225614833,366994.8763044464
Kampen,67,2455,60.49695206702349,148520.01732454268
Marlot,68,805,88.40698991941923,71167.62688513249
Burgen en Horsten,69,6285,62.920073036900504,395452.65903691965
Bezuidenhout-West,64,3580,83.06991274431405,297390.2876246443
Bezuidenhout-Midden,65,4285,65.54189802161596,280847.0330226244
Bezuidenhout-Oost,66,9010,50.90615167327539,458664.42657621123
Huygenspark,18,7895,46.31954638487029,365692.81870855094
Rivierenbuurt-Zuid,62,850,47.58051948218478,40443.44155985706
Rivierenbuurt-Noord,63,3690,60.759337369072824,224201.95489187873
Kortenbos,11,7275,38.18586512121084,277802.16875680885
Voorhout,12,2355,43.20444629998037,101746.47103645376
Uilebomen,13,3180,38.57795095764945,122677.88404532525
Zuidwal,14,6885,51.59856025129387,355256.0873301583
Schildersbuurt-West,15,14115,54.70795553688893,772202.7924031873
Schildersbuurt-Noord,16,9985,51.790712002899596,517130.25934895244
Schildersbuurt-Oost,17,7230,55.764051161866526,403174.08990029496
Transvaalkwartier-Noord,32,3945,56.636519407818426,223431.0690638437
Transvaalkwartier-Midden,33,5005,58.231940104299284,291450.8602220179
Transvaalkwartier-Zuid,34,7235,57.466964617235696,415773.4890057003
Rustenburg,30,6100,63.15501444762048,385245.5881304849
Oostbroek-Noord,31,4500,63.410054334962524,285345.24450733134
Oostbroek-Zuid,35,8055,64.64878804167877,520745.9876757225
Leyenburg,84,14910,51.221040086392485,763705.7076881119
"Venen, Oorden en Raden",87,8585,65.07052903513922,558630.4917666701
"Zijden, Steden en Zichten",96,7850,59.884971965431504,470097.0299286373
Dreven en Gaarden,98,10815,73.53347603316814,795264.5432987135
De Uithof,99,1380,68.99896735603181,95218.5749513239
Morgenstond-Zuid,80,5930,61.954036825502655,367387.43837523076
Morgenstond-West,88,7405,71.33446820935619,528231.7370902826
Morgenstond-Oost,89,5560,63.02647862196993,350427.2211381528
Moerwijk-Oost,20,3265,59.11365128225306,193006.07143655623
Moerwijk-West,37,6240,58.50360238284441,365062.4788689491
Moerwijk-Noord,38,6975,63.8693023994635,445488.38423625793
Moerwijk-Zuid,39,4600,64.17283832985022,295195.056317311
Groente- en Fruitmarkt,21,5315,62.78938065092192,333725.55815965
Laakhaven-Oost,19,4050,52.63224073114273,213160.57496112806
Laakhaven-West,22,5510,64.84437656280494,357292.51486105524
Spoorwijk,23,4340,59.59614203626706,258647.25643739905
Laakkwartier-West,24,8085,65.78682005687718,531886.4401598519
Laakkwartier-Oost,25,11240,69.5492653548786,781733.7425888354
Noordpolderbuurt,26,8345,61.13599094736518,510179.8444557624
Binckhorst,60,1790,35.89748027933817,64256.48970001532
Erasmus Veld,101,2155,90.42519397105455,194866.29300762256
Hoge Veld,102,8685,67.32718182602322,584736.5741590117
Parkbuurt oosteinde,103,3465,87.52286894152516,303266.7408823847
Lage Veld,104,4285,91.70712371231625,392965.0251072751
Zonne Veld,105,3440,87.0909812469971,299592.97548967006
Vlietzoom-West,106,170,89.50382649629249,15215.650504369723
Bosweide,108,2050,88.15741295779604,180722.69656348188
De Venen,111,1755,56.38986262319805,98964.20890371257
Morgenweide,112,7135,52.147979238789304,372075.8318687617
Singels,113,5595,88.17884757823289,493360.652200213
Waterbuurt,114,4775,48.18839081664849,230099.56614949656
De Bras,115,5855,105.91494922294183,620132.0277003244
Vlietzoom-Oost,116,100,84.99735644936747,8499.735644936747
De Lanen,118,5255,59.44308919507427,312373.4337201153
De Velden,119,4220,87.28119055066846,368326.62412382086
De Vissen,120,8505,89.36666874292628,760063.517658588
Rietbuurt,121,2755,58.91892396269269,162321.63551721835
