Name,Household_size,Waste_generated_per_household,waste per capita,GWP per capita
Belgisch Park,1.9,951.6591665,500.8732455,-274.3282766
Westbroekpark,1.9,914.8874739,481.5197231,-263.7283523
Duttendel,2.1,1087.944876,518.0689887,-283.7463851
Nassaubuurt,2.2,1085.779397,493.5360893,-270.3097161
Uilennest,1.8,917.9277947,509.9598859,-279.3050295
Duinzigt,1.7,917.9277947,539.9575263,-295.7347372
Waalsdorp,2.4,1209.295422,503.8730926,-275.9712928
Arendsdorp,2.3,1089.007959,473.4817215,-259.3259389
Van Hoytemastraat en omgeving,2.3,1130.786946,491.6464981,-269.274787
Archipelbuurt,1.8,915.0053059,508.3362811,-278.4157812
Van Stolkpark en Scheveningse Bosjes,2,1078.607756,539.3038779,-295.3767339
Oud Scheveningen,1.8,960.5434135,533.6352297,-292.2720153
Vissershaven,1.9,923.0176577,485.7987672,-266.0719848
Scheveningen Badplaats,1.8,964.5176647,535.843147,-293.4812916
Visserijbuurt,1.9,924.6867681,486.6772464,-266.5531279
Rijslag,1.8,923.1233692,512.8463162,-280.8859274
Duindorp,2.1,1483.238503,706.3040489,-386.8427276
Statenkwartier,2.1,1074.871071,511.8433672,-280.3366122
Geuzenkwartier,2,1072.762778,536.3813891,-293.7760868
Zorgvliet,1.9,976.2627116,513.8224798,-281.4205722
Stadhoudersplantsoen,1.7,915.0053059,538.2384152,-294.79318
Sweelinckplein en omgeving,1.9,933.9808761,491.5688822,-269.2322768
Bloemenbuurt-West,2.1,1098.546496,523.1173789,-286.5113884
Bloemenbuurt-Oost,1.9,926.7380671,487.7568774,-267.1444418
Bomenbuurt,1.9,926.7380671,487.7568774,-267.1444418
Vogelwijk,2.6,1178.570886,453.2964945,-248.27049
Bosjes van Pex,2,1091.872178,545.9360891,-299.009196
Bohemen en Meer en Bos,1.7,929.1885304,546.5814885,-299.3626813
Ockenburgh,2.2,1122.449378,510.2042627,-279.4388747
Kijkduin,2,1073.860158,536.9300791,-294.0766043
Kraayenstein,2.2,1146.988048,521.3582036,-285.5478881
Houtwijk,2.2,1216.472026,552.94183,-302.8462403
Kom Loosduinen,1.7,971.378488,571.3991106,-312.9552929
Waldeck-Zuid,1.8,957.9718353,532.2065752,-291.4895412
Nieuw Waldeck,2.1,1169.326873,556.8223207,-304.971585
Rosenburg,1.7,957.9718353,563.5128443,-308.6359848
Componistenbuurt,1.8,957.9718353,532.2065752,-291.4895412
Waldeck-Noord,1.5,957.9718353,638.6478902,-349.7874495
Vruchtenbuurt,2.2,1111.561464,505.2552108,-276.728279
Eykenduinen,2,1087.372972,543.6864859,-297.7770883
Heesterbuurt,1.8,924.4072589,513.5595883,-281.2765865
Valkenboskwartier,1.8,957.2292859,531.7940477,-291.2635999
Rond de Energiecentrale,1.8,939.1177548,521.732086,-285.7526635
Koningsplein en omgeving,1.8,934.5131713,519.173984,-284.351591
Zeeheldenkwartier,1.7,935.8612612,550.5066242,-301.5124781
Willemspark,1.6,955.9560257,597.4725161,-327.2356971
Haagse Bos,1.4,951.6072884,679.7194917,-372.2823656
Landen,1.7,913.1611655,537.1536268,-294.1990414
Kampen,1.6,945.5503373,590.9689608,-323.6736998
Marlot,2.6,1293.115938,497.3522838,-272.3998458
Burgen en Horsten,1.7,940.6735294,553.3373702,-303.0628777
Bezuidenhout-West,1.7,893.2620713,525.4482772,-287.7880214
Bezuidenhout-Midden,1.9,915.4210326,481.8005435,-263.8821577
Bezuidenhout-Oost,1.7,911.7426899,536.3192294,-293.7420419
Huygenspark,1.5,863.7120621,575.8080414,-315.3700643
Rivierenbuurt-Zuid,1.4,879.0638963,627.9027831,-343.9023543
Rivierenbuurt-Noord,1.8,983.4944438,546.3858021,-299.2555038
Kortenbos,1.6,945.3471393,590.841962,-323.6041426
Voorhout,1.4,962.0603973,687.185998,-376.3717711
Uilebomen,1.7,962.0603973,565.9178807,-309.9532233
Zuidwal,1.5,938.2597876,625.506525,-342.5899237
Schildersbuurt-West,2.4,1621.500987,675.6254112,-370.0400377
Schildersbuurt-Noord,2.3,1599.500652,695.4350659,-380.8897856
Schildersbuurt-Oost,2.5,1578.856473,631.5425893,-345.8958762
Transvaalkwartier-Noord,2.1,1345.41946,640.6759335,-350.8982088
Transvaalkwartier-Midden,2.3,1554.533274,675.8840322,-370.1816844
Transvaalkwartier-Zuid,2.4,1545.761911,644.0674629,-352.7557494
Rustenburg,2,1500.311834,750.1559172,-410.8603959
Oostbroek-Noord,2,1468.013727,734.0068637,-402.0155592
Oostbroek-Zuid,2.1,1451.23431,691.0639571,-378.4957293
Leyenburg,1.9,1102.271554,580.1429233,-317.7442791
"Venen, Oorden en Raden",2.1,1395.707275,664.622512,-364.0137498
"Zijden, Steden en Zichten",2.1,1406.566429,669.7935375,-366.8459205
Dreven en Gaarden,2.1,1356.049215,645.7377216,-353.6705501
De Uithof,1.7,1287.943932,757.6140774,-414.9452302
Morgenstond-Zuid,1.9,1300.09263,684.2592788,-374.768807
Morgenstond-West,2.1,1485.018094,707.1514732,-387.3068619
Morgenstond-Oost,1.7,1301.781265,765.7536851,-419.4032933
Moerwijk-Oost,1.8,1212.657966,673.6988702,-368.9848712
Moerwijk-West,1.9,1136.982685,598.4119395,-327.7502193
Moerwijk-Noord,2,1466.360506,733.180253,-401.5628246
Moerwijk-Zuid,1.9,1211.224049,637.4863417,-349.1512693
Groente- en Fruitmarkt,2.5,1597.186478,638.8745911,-349.9116135
Laakhaven-Oost,1.7,1254.284339,737.814317,-404.1009014
Laakhaven-West,1.8,1180.098178,655.6100989,-359.0776512
Spoorwijk,2.4,1582.4678,659.3615833,-361.1323392
Laakkwartier-West,2.1,1453.279977,692.0380845,-379.0292589
Laakkwartier-Oost,1.9,1338.659601,704.5576847,-385.8862439
Noordpolderbuurt,2,1451.013407,725.5067036,-397.3600216
Binckhorst,1.3,1214.156167,933.9662822,-511.5333328
Erasmus Veld,2.5,1323.844391,529.5377562,-290.0278291
Hoge Veld,2.8,1307.495824,466.9627944,-255.7555225
Parkbuurt oosteinde,2.8,1379.122749,492.5438388,-269.7662605
Lage Veld,2.6,1336.355204,513.9827706,-281.5083635
Zonne Veld,2.9,1329.255577,458.3639922,-251.0459585
Vlietzoom-West,2,1139.660318,569.8301592,-312.0959782
Bosweide,3.1,1271.958038,410.3090446,-224.7262637
De Venen,2.3,1248.653489,542.8928212,-297.3423982
Morgenweide,2.6,1236.115561,475.4290618,-260.3924971
Singels,2.7,1267.777951,469.5473892,-257.1711051
Waterbuurt,2.6,1248.906645,480.3487096,-263.0869882
De Bras,3.1,1288.070716,415.5066825,-227.57301
Vlietzoom-Oost,2.2,1153.742143,524.4282467,-287.2293507
De Lanen,3.1,1300.387535,419.4798501,-229.7491139
De Velden,2.7,1257.899897,465.8888508,-255.1673236
De Vissen,2.7,1272.356518,471.2431549,-258.0998759
Rietbuurt,3,1287.574989,429.1916629,-235.0682738
