Name,GWP_furniture
Belgisch Park,240.8773075
Westbroekpark,250.8209671
Duttendel,236.972049
Nassaubuurt,258.1708254
Uilennest,250.683709
Duinzigt,250.8209671
Waalsdorp,240.1736601
Arendsdorp,260.2861023
Van Hoytemastraat en omgeving,258.478797
Archipelbuurt,234.8556846
Van Stolkpark en Scheveningse Bosjes,231.9445429
Oud Scheveningen,233.7659068
Vissershaven,221.5096347
Scheveningen Badplaats,230.4892459
Visserijbuurt,249.6845725
Rijslag,245.1377124
Duindorp,236.2431399
Statenkwartier,241.5930476
Geuzenkwartier,216.3302218
Zorgvliet,257.8917032
Stadhoudersplantsoen,240.6824767
Sweelinckplein en omgeving,220.5278961
Bloemenbuurt-West,230.099156
Bloemenbuurt-Oost,215.7745835
Bomenbuurt,216.8846848
Vogelwijk,240.1810058
Bosjes van Pex,240.8373536
Bohemen en Meer en Bos,233.276145
Ockenburgh,242.954669
Kijkduin,234.8182531
Kraayenstein,234.9027881
Houtwijk,228.5281843
Kom Loosduinen,225.7091311
Waldeck-Zuid,225.2155957
Nieuw Waldeck,185.2459437
Rosenburg,230.2803177
Componistenbuurt,238.9519534
Waldeck-Noord,250.7005829
Vruchtenbuurt,239.8499703
Eykenduinen,218.2182507
Heesterbuurt,225.606731
Valkenboskwartier,238.0764858
Rond de Energiecentrale,236.3941608
Koningsplein en omgeving,243.8572386
Zeeheldenkwartier,250.4418228
Willemspark,231.1280949
Haagse Bos,246.3652943
Landen,229.490023
Kampen,239.0885766
Marlot,248.1696696
Burgen en Horsten,245.5681537
Bezuidenhout-West,235.441898
Bezuidenhout-Midden,239.7241922
Bezuidenhout-Oost,242.1316406
Huygenspark,133.7938589
Rivierenbuurt-Zuid,136.4987003
Rivierenbuurt-Noord,256.8728074
Kortenbos,248.3400623
Voorhout,252.486802
Uilebomen,245.0723042
Zuidwal,240.6159057
Schildersbuurt-West,126.9639737
Schildersbuurt-Noord,157.5918561
Schildersbuurt-Oost,155.6381275
Transvaalkwartier-Noord,110.5296381
Transvaalkwartier-Midden,115.482075
Transvaalkwartier-Zuid,114.4342
Rustenburg,162.0860107
Oostbroek-Noord,144.2617959
Oostbroek-Zuid,128.955838
Leyenburg,234.1416992
"Venen, Oorden en Raden",117.4970216
"Zijden, Steden en Zichten",125.017203
Dreven en Gaarden,118.9983691
De Uithof,236.4426705
Morgenstond-Zuid,123.3425817
Morgenstond-West,233.0964031
Morgenstond-Oost,141.3386202
Moerwijk-Oost,118.0798626
Moerwijk-West,119.1714672
Moerwijk-Noord,124.8217253
Moerwijk-Zuid,116.4157216
Groente- en Fruitmarkt,109.238373
Laakhaven-Oost,134.4131255
Laakhaven-West,117.9515506
Spoorwijk,157.7431134
Laakkwartier-West,136.1513992
Laakkwartier-Oost,142.7262009
Noordpolderbuurt,114.0740483
Binckhorst,197.1446153
Erasmus Veld,233.49256
Hoge Veld,259.0603496
Parkbuurt oosteinde,259.6039561
Lage Veld,239.812052
Zonne Veld,254.1668379
Vlietzoom-West,241.6431755
Bosweide,261.4060266
De Venen,261.1478358
Morgenweide,256.1919453
Singels,254.041192
Waterbuurt,244.1298955
De Bras,257.5269101
Vlietzoom-Oost,245.099209
De Lanen,261.7807156
De Velden,258.4524892
De Vissen,254.9170179
Rietbuurt,262.4994681
