Name,bustram
Belgisch Park,65.78003452
Westbroekpark,68.23707142
Duttendel,64.29789929
Nassaubuurt,61.25564969
Uilennest,60.93391478
Duinzigt,67.68829315
Waalsdorp,60.58638014
Arendsdorp,62.22974822
Van Hoytemastraat en omgeving,59.38393564
Archipelbuurt,62.07120239
Van Stolkpark en Scheveningse Bosjes,64.66851579
Oud Scheveningen,59.75995193
Vissershaven,61.08731663
Scheveningen Badplaats,61.67217132
Visserijbuurt,62.65597531
Rijslag,64.6707292
Duindorp,59.94942132
Statenkwartier,62.0334702
Geuzenkwartier,62.27493942
Zorgvliet,62.8013403
Stadhoudersplantsoen,61.0433326
Sweelinckplein en omgeving,60.86019724
Bloemenbuurt-West,61.54463825
Bloemenbuurt-Oost,61.34403898
Bomenbuurt,61.11398149
Vogelwijk,62.16135234
Bosjes van Pex,64.07736409
Bohemen en Meer en Bos,63.7799163
Ockenburgh,66.42240975
Kijkduin,65.77029209
Kraayenstein,60.58123699
Kerketuinen en Zichtenburg,49.76752391
Houtwijk,62.71412247
Kom Loosduinen,63.11849547
Waldeck-Zuid,63.26471747
Nieuw Waldeck,62.40043549
Rosenburg,63.5577062
Componistenbuurt,64.24478352
Waldeck-Noord,66.44448851
Vruchtenbuurt,60.85531226
Eykenduinen,60.11751182
Heesterbuurt,61.03536462
Valkenboskwartier,61.89683965
Rond de Energiecentrale,62.69462975
Koningsplein en omgeving,60.87123433
Zeeheldenkwartier,62.80089941
Willemspark,61.43292755
Haagse Bos,63.36119914
Landen,61.79155143
Kampen,60.52790115
Marlot,63.62727048
Burgen en Horsten,61.87178853
Bezuidenhout-West,71.42882046
Bezuidenhout-Midden,60.64353748
Bezuidenhout-Oost,60.34153915
Huygenspark,76.99647006
Rivierenbuurt-Zuid,71.87727103
Rivierenbuurt-Noord,63.74248364
Kortenbos,63.00716153
Voorhout,64.74179307
Uilebomen,59.54812568
Zuidwal,63.53100901
Schildersbuurt-West,64.61163573
Schildersbuurt-Noord,64.05235493
Schildersbuurt-Oost,65.18124316
Transvaalkwartier-Noord,64.24810069
Transvaalkwartier-Midden,62.37522547
Transvaalkwartier-Zuid,63.59890944
Rustenburg,61.31863067
Oostbroek-Noord,61.69453636
Oostbroek-Zuid,62.81461485
Leyenburg,62.75474914
"Venen, Oorden en Raden",62.37739938
"Zijden, Steden en Zichten",60.90638415
Dreven en Gaarden,63.11020941
De Uithof,65.18369195
Morgenstond-Zuid,60.50066898
Morgenstond-West,61.73962009
Morgenstond-Oost,60.797848
Zuiderpark,64.40786161
Moerwijk-Oost,61.49296017
Moerwijk-West,60.73942508
Moerwijk-Noord,61.96933626
Moerwijk-Zuid,61.82130273
Groente- en Fruitmarkt,64.29097614
Laakhaven-Oost,70.96772193
Laakhaven-West,66.17519256
Spoorwijk,62.32220151
Laakkwartier-West,62.53347572
Laakkwartier-Oost,63.27532568
Noordpolderbuurt,65.24463679
Binckhorst,64.99890405
Erasmus Veld,64.25057751
Hoge Veld,60.11607336
Parkbuurt oosteinde,62.69907447
Lage Veld,61.71898134
Zonne Veld,61.89161366
Vlietzoom-West,60.77314112
De Reef,94.58337012
Bosweide,62.33627874
De Venen,58.87825106
Morgenweide,61.16541989
Singels,62.04841806
Waterbuurt,60.79985872
De Bras,59.83197576
Vlietzoom-Oost,71.22471114
De Rivieren,64.15116433
De Lanen,59.03114246
De Velden,61.31461092
De Vissen,62.20782713
Rietbuurt,57.30156568
