Name,train km per capita,GWP_train
Belgisch Park,5.647509425,95.64621963
Westbroekpark,5.846375196,99.01421032
Duttendel,5.61676572,95.12554424
Nassaubuurt,5.389282975,91.27289647
Uilennest,5.43986662,92.12958107
Duinzigt,5.854567759,99.15295956
Waalsdorp,5.313209343,89.98451344
Arendsdorp,5.429184178,91.94866323
Van Hoytemastraat en omgeving,5.26522266,89.17181097
Archipelbuurt,5.486105517,92.91268304
Van Stolkpark en Scheveningse Bosjes,5.612546785,95.05409236
Oud Scheveningen,5.364055387,90.84564204
Vissershaven,5.409302642,91.61194955
Scheveningen Badplaats,5.454450409,92.37657212
Visserijbuurt,5.508981432,93.30010953
Rijslag,5.624791281,95.26146514
Duindorp,5.315008648,90.01498646
Statenkwartier,5.430498256,91.97091846
Geuzenkwartier,5.478920119,92.79099113
Zorgvliet,5.529716271,93.65127477
Stadhoudersplantsoen,5.432108921,91.99819669
Sweelinckplein en omgeving,5.390418131,91.29212147
Bloemenbuurt-West,5.443861522,92.19723874
Bloemenbuurt-Oost,5.440143245,92.13426599
Bomenbuurt,5.428201079,91.93201348
Vogelwijk,5.39766294,91.41481955
Bosjes van Pex,5.590752388,94.68498245
Bohemen en Meer en Bos,5.644632993,95.59750437
Ockenburgh,5.638406273,95.49204865
Kijkduin,5.714115569,96.77426127
Kraayenstein,5.361651922,90.80493694
Kerketuinen en Zichtenburg,4.802707143,81.33864817
Houtwijk,5.484680697,92.88855229
Kom Loosduinen,5.571142845,94.35287523
Waldeck-Zuid,5.578911264,94.48444116
Nieuw Waldeck,5.47788531,92.77346561
Rosenburg,5.615459638,95.10342443
Componistenbuurt,5.660916591,95.87328339
Waldeck-Noord,5.828306992,98.70820721
Vruchtenbuurt,5.37463895,91.02488525
Eykenduinen,5.370687002,90.95795506
Heesterbuurt,5.409048609,91.60764724
Valkenboskwartier,5.461459858,92.49528415
Rond de Energiecentrale,5.515990729,93.41881898
Koningsplein en omgeving,5.417684633,91.75390695
Zeeheldenkwartier,5.527523885,93.61414452
Willemspark,5.477799786,92.77201718
Haagse Bos,5.650043332,95.68913387
Landen,5.455610008,92.3962111
Kampen,5.403976512,91.5217462
Marlot,5.468168184,92.60889637
Burgen en Horsten,5.488644743,92.95568737
Bezuidenhout-West,5.946634285,100.7121982
Bezuidenhout-Midden,5.379538064,91.10785665
Bezuidenhout-Oost,5.421422552,91.81721234
Huygenspark,6.243785263,105.7447472
Rivierenbuurt-Zuid,6.019977034,101.954331
Rivierenbuurt-Noord,5.549536465,93.98694957
Kortenbos,5.54336276,93.8823917
Voorhout,5.685227134,96.28500674
Uilebomen,5.365151304,90.86420248
Zuidwal,5.591641495,94.70004036
Schildersbuurt-West,5.531605102,93.68326401
Schildersbuurt-Noord,5.503600395,93.20897629
Schildersbuurt-Oost,5.554980758,94.07915411
Transvaalkwartier-Noord,5.538268654,93.79611792
Transvaalkwartier-Midden,5.400040022,91.45507782
Transvaalkwartier-Zuid,5.464222715,92.5420759
Rustenburg,5.40157952,91.48115076
Oostbroek-Noord,5.417608358,91.75261516
Oostbroek-Zuid,5.456225758,92.40663943
Leyenburg,5.514654213,93.39618375
"Venen, Oorden en Raden",5.417372727,91.74862451
"Zijden, Steden en Zichten",5.348060073,90.5747454
Dreven en Gaarden,5.470409535,92.64685589
De Uithof,5.671255173,96.04837761
Morgenstond-Zuid,5.346033567,90.54042449
Morgenstond-West,5.407691013,91.58465499
Morgenstond-Oost,5.375684734,91.04259666
Zuiderpark,5.684369699,96.27048522
Moerwijk-Oost,5.373639578,91.00795989
Moerwijk-West,5.333305158,90.32485616
Moerwijk-Noord,5.403747743,91.51787177
Moerwijk-Zuid,5.379633017,91.10946478
Groente- en Fruitmarkt,5.500544389,93.15721977
Laakhaven-Oost,5.918431987,100.2345641
Laakhaven-West,5.64239659,95.55962865
Spoorwijk,5.400750354,91.46710799
Laakkwartier-West,5.448190602,92.27055603
Laakkwartier-Oost,5.500602289,93.15820036
Noordpolderbuurt,5.584186226,94.57377793
Binckhorst,5.612698083,95.05665473
Erasmus Veld,5.57925592,94.49027826
Hoge Veld,5.241239989,88.76564046
Parkbuurt oosteinde,5.4138817,91.68950047
Lage Veld,5.401725134,91.48361688
Zonne Veld,5.36500838,90.86178193
Vlietzoom-West,5.28460084,89.49999983
De Reef,7.222142857,122.3142114
Bosweide,5.358821893,90.75700757
De Venen,5.216076349,88.33946905
Morgenweide,5.331238747,90.28985941
Singels,5.392219043,91.32262172
Waterbuurt,5.31647088,90.03975082
De Bras,5.203276165,88.12268513
Vlietzoom-Oost,6.0833025,103.0268111
De Rivieren,5.625151786,95.26757064
De Lanen,5.166102191,87.49310671
De Velden,5.346787586,90.55319455
De Vissen,5.409667217,91.61812399
Rietbuurt,5.050590997,85.53680912
