Name,Footwear
Belgisch Park,2.561943789
Westbroekpark,2.897702283
Duttendel,2.902105039
Nassaubuurt,2.478516448
Uilennest,2.792683135
Duinzigt,2.768052892
Waalsdorp,2.334658095
Arendsdorp,2.347253467
Van Hoytemastraat en omgeving,2.337353472
Archipelbuurt,2.918704683
Van Stolkpark en Scheveningse Bosjes,2.766328228
Oud Scheveningen,2.5252477
Vissershaven,2.298322624
Scheveningen Badplaats,2.509010038
Visserijbuurt,2.50432179
Rijslag,2.329285232
Duindorp,2.316274893
Statenkwartier,2.757989914
Geuzenkwartier,2.813511275
Zorgvliet,2.440900201
Stadhoudersplantsoen,2.566212348
Sweelinckplein en omgeving,2.57396417
Bloemenbuurt-West,2.38228248
Bloemenbuurt-Oost,2.618463702
Bomenbuurt,2.612337311
Vogelwijk,2.536860049
Bosjes van Pex,2.594788799
Bohemen en Meer en Bos,2.507693946
Ockenburgh,3.084905748
Kijkduin,2.930286875
Kraayenstein,2.009475792
Houtwijk,2.249974572
Kom Loosduinen,2.515581651
Waldeck-Zuid,2.529082031
Nieuw Waldeck,2.286782475
Rosenburg,2.537858184
Componistenbuurt,2.55427052
Waldeck-Noord,2.502340773
Vruchtenbuurt,2.547866582
Eykenduinen,2.665377337
Heesterbuurt,2.301745306
Valkenboskwartier,2.546115974
Rond de Energiecentrale,3.11997976
Koningsplein en omgeving,2.986910752
Zeeheldenkwartier,3.123857947
Willemspark,3.001137563
Haagse Bos,2.508470929
Landen,2.29412245
Kampen,2.455294213
Marlot,1.88344284
Burgen en Horsten,2.560129437
Bezuidenhout-West,3.083520276
Bezuidenhout-Midden,2.764677128
Bezuidenhout-Oost,2.97953338
Huygenspark,2.502286483
Rivierenbuurt-Zuid,2.543259112
Rivierenbuurt-Noord,2.535687442
Kortenbos,2.775515096
Voorhout,2.749901689
Uilebomen,2.661369271
Zuidwal,2.75087668
Schildersbuurt-West,2.447222446
Schildersbuurt-Noord,2.468065044
Schildersbuurt-Oost,2.466860128
Transvaalkwartier-Noord,2.655653346
Transvaalkwartier-Midden,2.486387311
Transvaalkwartier-Zuid,2.431682133
Rustenburg,2.317666081
Oostbroek-Noord,2.309107073
Oostbroek-Zuid,2.174550219
Leyenburg,2.614072445
"Venen, Oorden en Raden",1.799823034
"Zijden, Steden en Zichten",1.893906765
Dreven en Gaarden,1.898927772
De Uithof,2.464063339
Morgenstond-Zuid,2.246853537
Morgenstond-West,2.004328063
Morgenstond-Oost,2.345323509
Moerwijk-Oost,1.89967457
Moerwijk-West,1.853683157
Moerwijk-Noord,1.903157364
Moerwijk-Zuid,1.920155364
Groente- en Fruitmarkt,1.794265554
Laakhaven-Oost,2.640860672
Laakhaven-West,2.342402535
Spoorwijk,1.848466405
Laakkwartier-West,2.379470598
Laakkwartier-Oost,2.366327729
Noordpolderbuurt,2.373779536
Binckhorst,3.093577638
Erasmus Veld,2.528121344
Hoge Veld,1.899042026
Parkbuurt oosteinde,2.229803653
Lage Veld,2.266655525
Zonne Veld,1.841394871
Vlietzoom-West,2.4389746
Bosweide,1.840794322
De Venen,1.89396671
Morgenweide,1.885256713
Singels,1.859715004
Waterbuurt,1.875154416
De Bras,1.872852548
Vlietzoom-Oost,2.562629244
De Lanen,1.90494549
De Velden,1.909928916
De Vissen,1.913010887
Rietbuurt,1.940339364
