Name,green electricity,nongreen electricity
Belgisch Park,822.991371,550.4882146
Westbroekpark,877.9919406,755.3603321
Duttendel,924.3100076,749.6899924
Nassaubuurt,821.7113866,618.2886134
Uilennest,828.8238123,654.2238067
Duinzigt,770.5676441,702.9794501
Waalsdorp,779.7890779,580.8802135
Arendsdorp,687.0660562,532.2442887
Van Hoytemastraat en omgeving,772.3597439,556.6656798
Archipelbuurt,768.9067835,577.0932165
Van Stolkpark en Scheveningse Bosjes,717.6140895,617.9780158
Oud Scheveningen,738.5820481,459.6713765
Vissershaven,717.4016696,455.6320383
Scheveningen Badplaats,809.3052813,495.277279
Visserijbuurt,770.2450904,483.1227853
Rijslag,915.2105965,591.2800867
Duindorp,921.613797,492.5255817
Statenkwartier,786.0087867,551.2648812
Geuzenkwartier,663.9170074,478.4747921
Zorgvliet,1011.939005,709.2609954
Stadhoudersplantsoen,722.9952823,562.5659422
Sweelinckplein en omgeving,818.3880231,603.9441628
Bloemenbuurt-West,694.6704735,481.3979026
Bloemenbuurt-Oost,758.1691093,489.7333675
Bomenbuurt,754.2343133,489.5338027
Vogelwijk,823.5441297,602.2222255
Bosjes van Pex,744.0860153,510.9139847
Bohemen en Meer en Bos,747.3607534,585.2813871
Ockenburgh,931.9531515,643.8959051
Kijkduin,960.1357192,774.8642808
Kraayenstein,822.9770391,516.3080673
Houtwijk,743.4111129,440.4890431
Kom Loosduinen,743.6143519,480.2147938
Waldeck-Zuid,855.9344816,569.1269435
Nieuw Waldeck,706.8834902,418.9486873
Rosenburg,657.1092363,461.4474647
Componistenbuurt,826.294935,562.0886267
Waldeck-Noord,864.3671303,696.4582665
Vruchtenbuurt,703.3836071,451.3547042
Eykenduinen,722.9655709,469.2924936
Heesterbuurt,726.2936748,409.8488674
Valkenboskwartier,787.1129694,448.8730385
Rond de Energiecentrale,719.5378435,457.2379751
Koningsplein en omgeving,872.808259,542.3006519
Zeeheldenkwartier,797.2850131,511.3515424
Willemspark,902.6227126,670.2631934
Haagse Bos,525.2982744,386.2311374
Landen,718.4091514,428.8750387
Kampen,747.1823916,454.5284027
Marlot,976.6073705,617.6783437
Burgen en Horsten,805.58646,504.6999361
Bezuidenhout-West,768.0964371,472.168926
Bezuidenhout-Midden,813.77167,531.0357979
Bezuidenhout-Oost,723.460159,469.9083205
Huygenspark,865.0392391,453.2128192
Rivierenbuurt-Zuid,1017.334482,559.959636
Rivierenbuurt-Noord,792.0947773,455.8591523
Kortenbos,804.2220655,498.3758726
Voorhout,1006.039995,650.4355889
Uilebomen,809.8630707,502.6369293
Zuidwal,805.9220987,492.5092739
Schildersbuurt-West,649.9593209,301.4257304
Schildersbuurt-Noord,643.3890583,302.9554585
Schildersbuurt-Oost,601.2495462,278.4599974
Transvaalkwartier-Noord,669.251924,307.6809024
Transvaalkwartier-Midden,673.8267126,318.2112494
Transvaalkwartier-Zuid,659.8454686,303.996964
Rustenburg,719.5975721,367.4843951
Oostbroek-Noord,702.804946,340.895054
Oostbroek-Zuid,722.5888628,342.6252899
Leyenburg,799.6491289,442.6379267
"Venen, Oorden en Raden",648.439356,319.265944
"Zijden, Steden en Zichten",664.4492719,328.6335307
Dreven en Gaarden,660.5097623,331.6908849
De Uithof,990.8427685,675.0267968
Morgenstond-Zuid,654.1827943,326.5423321
Morgenstond-West,710.2463666,362.8528907
Morgenstond-Oost,670.323654,351.5648352
Zuiderpark,529.8770893,497.6229107
Moerwijk-Oost,675.2510422,345.0246086
Moerwijk-West,599.3545725,304.0829275
Moerwijk-Noord,711.6950876,348.3335862
Moerwijk-Zuid,629.62609,303.6347796
Groente- en Fruitmarkt,709.1871235,327.1252001
Laakhaven-Oost,819.2199917,377.8787737
Laakhaven-West,796.0639986,381.6946221
Spoorwijk,810.3916872,380.7603865
Laakkwartier-West,738.7640675,362.4604223
Laakkwartier-Oost,752.9160336,365.8695536
Noordpolderbuurt,707.4777323,343.1573786
Binckhorst,124.0633444,87.94782877
Erasmus Veld,702.0411773,437.0771522
Hoge Veld,735.4084731,381.6899725
Parkbuurt oosteinde,860.6458574,504.4479377
Lage Veld,757.5591475,435.8947615
Zonne Veld,769.8387453,408.5769523
Vlietzoom-West,1097.840463,782.1595373
Bosweide,973.4127972,549.4164711
De Venen,1268.354522,650.3349367
Morgenweide,787.5499829,422.6812715
Singels,817.4103463,457.2634697
Waterbuurt,803.7957702,427.7434969
De Bras,764.6236965,397.6051677
Vlietzoom-Oost,1168.750901,901.2490991
De Lanen,777.2719963,413.7080227
De Velden,774.1443354,452.016802
De Vissen,787.3770379,465.1626446
Rietbuurt,736.0561627,382.0019136
