Name,BUURTCODE,Food
Archipelbuurt,46,1037.501557
Arendsdorp,78,1018.181711
Belgisch Park,71,1056.78101
Bezuidenhout-Midden,65,1038.48741
Bezuidenhout-Oost,66,1049.314747
Bezuidenhout-West,64,1028.834265
Binckhorst,60,1190.70012
Bloemenbuurt-Oost,51,1048.663759
Bloemenbuurt-West,50,1048.208984
Bohemen en Meer en Bos,92,1059.647735
Bomenbuurt,52,1050.771717
Bosjes van Pex,81,1048.519257
Bosweide,108,1037.577042
Burgen en Horsten,69,1063.956398
Componistenbuurt,93,1066.597732
De Bras,115,1026.28442
De Lanen,118,1039.588584
De Reef,110,1185.015016
De Rivieren,117,890.6300187
De Uithof,99,1072.91471
De Velden,119,1055.698155
De Venen,111,1039.341635
De Vissen,120,1054.330095
Dreven en Gaarden,98,1065.280007
Duindorp,100,1071.364741
Duinzigt,76,1029.17661
Duttendel,74,1037.582092
Erasmus Veld,101,1057.480741
Eykenduinen,83,1052.576692
Geuzenkwartier,8,1037.946056
Groente- en Fruitmarkt,21,1072.659103
Haagse Bos,49,1082.245283
Heesterbuurt,54,1059.799233
Hoge Veld,102,1040.480058
Houtwijk,86,1068.286311
Huygenspark,18,1064.068201
Kampen,67,1068.391073
Kerketuinen en Zichtenburg,85,1197.434623
Kijkduin,91,1065.432271
Kom Loosduinen,95,1067.987492
Koningsplein en omgeving,44,1060.307733
Kortenbos,11,1070.455599
Kraayenstein,97,1066.272534
Laakhaven-Oost,19,1067.652066
Laakhaven-West,22,1071.56258
Laakkwartier-Oost,25,1079.552385
Laakkwartier-West,24,1079.074544
Lage Veld,104,1059.742722
Landen,61,1063.746707
Leyenburg,84,1072.702135
Marlot,68,1044.791088
Moerwijk-Noord,38,1074.940522
Moerwijk-Oost,20,1079.484176
Moerwijk-West,37,1070.84042
Moerwijk-Zuid,39,1072.297706
Morgenstond-Oost,89,1078.386725
Morgenstond-West,88,1067.261459
Morgenstond-Zuid,80,1072.464983
Morgenweide,112,1040.065441
Nassaubuurt,48,1020.132928
Nieuw Waldeck,40,1063.106447
Noordpolderbuurt,26,1075.372284
Ockenburgh,90,1055.590217
Oostbroek-Noord,31,1076.631559
Oostbroek-Zuid,35,1071.108141
Oud Scheveningen,1,1073.554531
Parkbuurt oosteinde,103,1066.352223
Rietbuurt,121,1032.247542
Rijslag,72,1061.058424
Rivierenbuurt-Noord,63,1076.733158
Rivierenbuurt-Zuid,62,1088.273565
Rond de Energiecentrale,10,1063.838764
Rosenburg,82,1073.987497
Rustenburg,30,1078.934936
Scheveningen Badplaats,3,1069.210158
Schildersbuurt-Noord,16,1057.370555
Schildersbuurt-Oost,17,1055.795427
Schildersbuurt-West,15,1060.304333
Singels,113,1046.167413
Spoorwijk,23,1060.731403
Stadhoudersplantsoen,42,1029.590334
Statenkwartier,7,1031.014783
Sweelinckplein en omgeving,43,1031.3073
Transvaalkwartier-Midden,33,1075.927345
Transvaalkwartier-Noord,32,1080.489777
Transvaalkwartier-Zuid,34,1082.724723
Uilebomen,13,1075.754565
Uilennest,75,1030.40242
Valkenboskwartier,55,1067.407822
Van Hoytemastraat en omgeving,79,1017.784079
Van Stolkpark en Scheveningse Bosjes,5,1035.348517
"Venen, Oorden en Raden",87,1065.95747
Visserijbuurt,4,1059.590445
Vissershaven,2,1059.992508
Vlietzoom-Oost,116,1034.118945
Vlietzoom-West,106,1010.901016
Vogelwijk,9,1042.59084
Voorhout,12,1090.301387
Vruchtenbuurt,53,1045.41139
Waalsdorp,77,1016.398803
Waldeck-Noord,94,1068.005058
Waldeck-Zuid,6,1061.897201
Waterbuurt,114,1040.398658
Westbroekpark,73,1040.95074
Willemspark,47,1072.36813
Zeeheldenkwartier,45,1065.304173
"Zijden, Steden en Zichten",96,1068.462328
Zonne Veld,105,1052.330587
Zorgvliet,41,1069.889573
Zuiderpark,36,1004.698114
Zuidwal,14,1079.225082
